H_L0.1_weight,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L3_covariance,HH_L3_pcc,HH_L1_std,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_std,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L3_variance,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L1_pcc,HpHp_L0.1_radius,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,type
0.22430608,0.30589932,7.50E-05,3.84E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266315,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.011359261,0.002198278,0.0617007,0.08428751,0.36803675,0.42839757,0.34019986,0.16219026,0.3288695,0.40579763,0.3422588,0.19229962,0.36290905,0.37597936,0.33115992,0.20447448,0.4245208,0.44983336,3.22E-17,4.10E-17,0.012767032,4.57E-17,0.0021616104,6.11E-10,8.47E-17,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,0
0.22593965,0.30510935,7.62E-05,3.88E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826631,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.44204697,0.60591143,0.21358195,0.1314862,0.38159412,0.46982324,0.006261907,2.92E-05,0.34851477,0.4641461,0.014825776,0.00018698981,0.38961926,0.4486558,0.013101768,0.00016495552,0.43765217,0.46403483,3.26E-22,5.24E-22,0.316854,3.83E-17,0.4707656,1.95E-06,7.67E-06,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.2549589,0.24250926,1.51E-05,1.44E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826629,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.4284932,0.605007,0.21310407,0.13158491,0.38159412,0.46982324,0.0027321232,5.56E-06,0.34851477,0.4641461,0.014444394,0.00017749319,0.38961926,0.4486558,0.013276993,0.00016939733,0.43765217,0.46403483,4.38E-22,5.39E-22,0.30194464,1.24E-17,0.46901488,1.74E-06,6.85E-06,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.7182489,0.9895126,0.24386354,0.12167862,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266506,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,4
0.2290874,0.27920482,7.42E-05,3.86E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266304,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.0039162487,0.0026645781,0.080085516,0.2148703,0.4890926,0.56188655,0.8363873,0.6386279,0.5347669,0.6014159,0.79809976,0.65756476,0.6000511,0.61180705,0.55206335,0.39711562,0.634576,0.5672986,1.88E-19,4.51E-19,0.0044265534,4.49E-09,0.0023890764,0.0015961647,0.006260612,0.35288322,0.7710331,0.4157617,0.00089794985,0.12256772,0.5039845,0.8087123,0.56621134,0.4454278,0
0.00100483,0.0015366412,0.008342182,0.0008734476,0.38159412,0.46982324,0.003205577,3.75E-05,0.3485147,0.46347484,0.033212774,0.0010590025,0.38965037,0.4646209,0.032627337,0.0012375759,0.43787003,0.5019616,1.80E-19,3.04E-18,0.0009921578,6.22E-18,0.0016217247,8.25E-10,6.12E-18,0.43570575,0.0030592324,0.4176262,0.0014549025,0.05607699,0.04515375,0.0033459573,0.58142054,0.48451453,0
