H_L0.1_weight,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L3_covariance,HH_L3_pcc,HH_L1_std,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_std,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L3_variance,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L1_pcc,HpHp_L0.1_radius,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,type
0.0010591802,0.0015653424,0.008132599,0.0007672064,0.38159412,0.46982324,0.0007567262,4.27E-07,0.34851477,0.4641461,0.011708691,0.00012569329,0.38961366,0.42218778,0.010565289,0.00015089005,0.43765572,0.46892023,5.22E-26,4.72E-20,0.00013484334,2.13E-17,0.00035133678,5.26E-09,4.96E-17,0.43570697,0.00013563284,0.42216036,0.0012180841,0.010525497,0.028066255,0.00015086072,0.5812556,0.47486567,0
0.36544937,0.47408137,0.0060178186,0.000106227846,0.38159412,0.46982324,0.00015315997,1.75E-08,0.34851477,0.4641461,0.00074833946,4.76E-07,0.38961926,0.4486558,0.00080388313,6.21E-07,0.43765217,0.46403483,2.47E-20,9.76E-21,0.27682433,9.41E-12,0.36449438,8.60E-06,3.38E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.37772286,0.43505436,0.0060148076,0.000106228195,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826656,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,3
0.71193415,0.7898513,0.249893,0.12761408,0.38159412,0.46982324,2.12E-05,3.35E-10,0.34851477,0.4641461,0.005607674,2.68E-05,0.38961926,0.4486558,0.006474603,4.03E-05,0.43765217,0.46403483,2.97E-22,1.79E-22,0.5741753,2.27E-10,0.7009169,6.61E-06,2.60E-05,0.43570697,0,0.4486267,0,0,0.35886526,0,0.58125275,0.47003502,1
0.3822334,0.41595358,0.0057904166,0.00010733748,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826656,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,3
0.7134211,0.27119076,0.0070376615,9.65E-05,0.38159412,0.46982324,0.00014686384,1.61E-08,0.34851477,0.4641461,0.000274441,6.41E-08,0.38961926,0.4486558,0.00025459935,6.23E-08,0.43765217,0.46403483,2.76E-22,1.53E-15,0.5911888,4.84E-05,0.24475698,6.48E-05,0.00025483023,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.7368556,0.5926465,0.008086301,7.91E-05,0.38159412,0.46982324,2.44E-06,4.43E-12,0.34851477,0.4641461,0.00021720688,4.01E-08,0.38961926,0.4486558,0.00028168043,7.62E-08,0.43765217,0.46403483,5.49E-23,5.63E-23,0.7006151,1.94E-07,0.6103933,1.52E-05,5.98E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.43855137,0.21467656,0.0056675333,0.00010774935,0.38159412,0.46982324,2.20E-07,3.60E-14,0.34851477,0.4641461,0.00049732183,2.10E-07,0.38961926,0.4486558,0.000778697,5.83E-07,0.43765217,0.46403483,5.11E-22,7.40E-22,0.3230571,1.08E-05,0.15528165,8.28E-05,0.0003255556,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.22733779,0.1188975,7.95E-05,4.17E-06,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266286,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,2
0.43288267,0.3751721,0.005689943,0.00010773017,0.38159412,0.46982324,3.62E-06,9.75E-12,0.34851477,0.4641461,0.0004940214,2.08E-07,0.38961926,0.4486558,0.0006892263,4.56E-07,0.43765217,0.46403483,4.04E-21,4.69E-21,0.31464314,4.40E-08,0.27237007,2.71E-05,0.00010672586,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
