H_L0.1_weight,H_L0.01_weight,H_L0.01_mean,H_L0.01_variance,HH_L3_covariance,HH_L3_pcc,HH_L1_std,HH_L1_radius,HH_L1_covariance,HH_L1_pcc,HH_L0.1_std,HH_L0.1_radius,HH_L0.1_covariance,HH_L0.1_pcc,HH_L0.01_std,HH_L0.01_radius,HH_L0.01_covariance,HH_L0.01_pcc,HH_jit_L3_variance,HH_jit_L1_variance,HH_jit_L0.1_weight,HH_jit_L0.1_variance,HH_jit_L0.01_weight,HH_jit_L0.01_mean,HH_jit_L0.01_variance,HpHp_L1_pcc,HpHp_L0.1_radius,HpHp_L0.1_pcc,HpHp_L0.01_weight,HpHp_L0.01_std,HpHp_L0.01_magnitude,HpHp_L0.01_radius,HpHp_L0.01_covariance,HpHp_L0.01_pcc,type
0.38149533,0.13322134,0.19711782,0.14075395,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.9826661,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,1
0.7215541,0.7567926,0.24381906,0.12169863,0.38159412,0.46982324,0.0005972881,2.66E-07,0.34851477,0.4641461,0.007677999,5.02E-05,0.38961926,0.4486558,0.006859475,4.52E-05,0.43765217,0.46403483,2.53E-22,1.85E-22,0.5903856,1.18E-09,0.6711834,8.17E-06,3.21E-05,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.7164945,0.90815616,0.24437639,0.12145094,0.38159412,0.46982324,0.0003072587,7.03E-08,0.34851477,0.4641461,0.007184499,4.39E-05,0.38961926,0.4486558,0.006835527,4.49E-05,0.43765217,0.46403483,4.65E-23,1.05E-22,0.5905659,2.42E-13,0.8072662,2.90E-06,1.14E-05,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.005292949,0.0034085952,0.052511472,0.08114119,0.33972242,0.38360608,0.34638888,0.2938947,0.30389026,0.37296423,0.3536482,0.33219257,0.35713464,0.38681588,0.35054472,0.29209632,0.41592908,0.4460607,2.08E-17,2.20E-17,0.004424054,2.83E-17,0.002791975,3.69E-10,5.90E-17,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,0
0.35965088,0.3783777,0.2118552,0.13924465,0.38159412,0.46982324,0.028424684,0.0006019318,0.34851477,0.4641461,0.03444909,0.001009575,0.38961926,0.4486558,0.028380565,0.0007740146,0.43765217,0.46403483,9.57E-21,3.76E-21,0.24032658,1.18E-08,0.28500646,2.21E-05,8.70E-05,0.43570697,0,0.4486267,0,0,0.35886526,0,0.58125275,0.47003502,1
0.7327665,0.6487297,0.008075939,7.91E-05,0.38159412,0.46982324,0,0,0.34851477,0.4641461,9.94E-10,8.40E-19,0.38961926,0.4486558,1.99E-09,3.80E-18,0.43765217,0.46403483,0,3.87E-31,1.45E-05,0.00027716902,4.97E-05,0.116013534,0.40250355,0.43570697,9.07E-19,0.4486267,0.00017222042,1.98E-09,3.47E-17,3.80E-18,0.58125275,0.47003502,3
0.44980028,0.6020921,0.21379161,0.13144155,0.38159412,0.46982324,5.37E-06,2.15E-11,0.34851477,0.4641461,0.00759805,4.91E-05,0.38961926,0.4486558,0.01226233,0.00014449509,0.43765217,0.46403483,7.09E-22,7.84E-22,0.32296568,1.88E-16,0.4682374,2.30E-06,9.06E-06,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
0.44221625,0.561464,0.21331,0.13154233,0.38159412,0.46982324,0,0,0.34851477,0.4641461,0,0,0.38961926,0.4486558,0,0,0.43765217,0.46403483,0,0,0,0,0,0.98266494,0,0.43570697,0,0.4486267,0,0,2.08E-17,0,0.58125275,0.47003502,4
0.36598763,0.41701186,0.0057830284,0.0001073668,0.38159412,0.46982324,0.00047927894,1.71E-07,0.34851477,0.4641461,0.0012281506,1.28E-06,0.38961926,0.4486558,0.0008046343,6.22E-07,0.43765217,0.46403483,1.57E-21,2.89E-21,0.23721056,3.25E-09,0.30782962,1.80E-05,7.08E-05,0.43570697,0,0.4486267,0,0,0.009929078,0,0.58125275,0.47003502,3
0.7152265,0.9587347,0.24488044,0.121225186,0.38159412,0.46982324,0.00073555135,4.03E-07,0.34851477,0.4641461,0.007915085,5.33E-05,0.38961926,0.4486558,0.006929956,4.61E-05,0.43765217,0.46403483,1.09E-22,1.94E-22,0.58865225,1.24E-15,0.85398626,1.62E-06,6.37E-06,0.43570697,0,0.4486267,0,0,0.3503546,0,0.58125275,0.47003502,4
